id,DATE,CARDINAL,ORG,GPE,PERSON,FAC,NORP,ORDINAL,LOC,PERCENT,TIME,PRODUCT,MONEY,WORK_OF_ART,EVENT,LAW,QUANTITY,LANGUAGE
oomuyi,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oouydv,4,2,11,8,6,1,1,3,1,1,1,0,0,0,0,0,0,0
ooqb0g,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ootnqh,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
op0nmq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oozlu4,14,2,15,0,5,0,0,0,0,2,0,1,11,0,0,0,0,0
oovcsk,2,13,0,0,2,0,1,0,0,5,0,1,0,0,0,0,0,0
ootjn9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ooy2si,1,1,18,0,5,1,1,1,0,0,1,0,2,0,0,0,0,0
oozh25,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
ooydvj,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oounad,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oowpvu,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
oozs5s,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oomlj7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
oo6rrz,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
oomu0t,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
ooxf3a,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oopa60,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op0khz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ooz67g,1,0,12,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0
ooxtra,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ooo66d,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oopj42,13,1,26,6,9,0,1,0,0,9,0,0,5,1,0,0,0,0
oox5n4,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
oovpx1,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
op0awk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ooo6h1,6,0,10,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0
op14at,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
oos7eu,8,4,15,2,5,0,0,1,2,4,0,0,0,0,1,0,0,0
oowi2l,1,2,31,1,8,0,0,0,0,1,0,2,1,1,0,0,0,0
oougzw,3,2,32,2,5,1,0,0,1,2,0,2,0,5,0,0,0,0
oozfq5,0,5,32,3,5,0,0,1,0,1,0,0,0,0,0,0,0,0
oomc6w,3,2,4,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
oopts1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ooll6z,3,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
oouhiq,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
op12ul,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
oomlpn,16,6,15,0,3,0,0,0,0,6,0,1,8,0,0,0,0,0
oowvnu,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oouy3h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oozdnu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ooylm4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op1bk4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ooqsdc,7,6,58,4,21,0,0,5,1,1,0,0,2,0,0,0,0,0
op0dhn,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oovvgu,5,1,20,2,3,1,0,2,0,0,0,1,0,2,0,0,0,0
op27tx,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op2c9u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op1rxp,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
op2gmt,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
op3k04,6,7,13,2,3,0,2,0,0,3,0,2,11,0,0,0,0,0
op104p,3,1,11,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0
op0ry2,1,14,5,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0
op33jd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op2osj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op2nn1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op6xvs,6,4,4,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0
opath1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opabqx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op3mut,1,4,10,5,5,0,0,1,0,0,0,0,2,0,0,0,0,0
op3zc2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
op52jd,10,1,9,6,4,0,0,1,0,1,0,0,1,0,0,0,0,0
op3nz9,7,0,12,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
opa0p6,12,4,38,5,10,0,0,3,0,0,0,1,1,0,0,0,0,0
