id,FAC,DATE,CARDINAL,GPE,ORG,PERSON,TIME,WORK_OF_ART,ORDINAL,LOC,NORP,PRODUCT,MONEY,LAW,EVENT,PERCENT,QUANTITY,LANGUAGE
oonzyz,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oop5by,0,6,5,7,13,11,1,1,1,0,0,0,0,0,0,0,0,0
oowl4x,0,16,7,11,5,12,0,0,1,0,0,0,0,0,0,0,0,0
ooxkr8,0,13,4,11,8,15,1,0,0,1,0,0,0,0,0,0,0,0
ooubrc,0,6,1,1,2,6,0,1,0,0,0,0,0,0,0,0,0,0
oohsex,0,1,0,1,7,4,0,0,0,0,1,0,0,0,0,0,0,0
ooyppv,0,6,0,6,9,6,0,0,0,0,4,1,0,0,0,0,0,0
oos734,0,5,2,4,2,5,0,0,0,2,1,0,0,0,0,0,0,0
oooxqo,2,23,5,14,17,29,0,1,2,1,12,6,0,0,0,0,0,0
oowyk8,0,8,6,2,22,6,1,1,4,1,0,1,0,0,0,0,0,0
ooq3wl,0,5,3,4,12,8,0,0,2,0,9,0,4,2,1,0,0,0
oonanx,0,5,5,4,6,6,0,0,0,0,5,0,2,0,0,0,0,0
ooqo1n,2,9,7,4,12,15,0,0,0,0,6,2,0,0,0,0,0,0
ooyb3w,1,9,20,24,24,27,0,1,0,1,0,1,1,0,0,14,0,0
ooeapk,0,8,0,9,11,6,0,0,0,0,3,0,0,1,0,0,0,0
oou2d0,0,12,19,5,12,16,0,0,2,1,0,1,0,0,1,0,1,0
ooz5e4,0,13,5,17,26,10,1,0,1,0,0,0,0,1,0,0,0,0
ooqsyu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oorix7,0,3,3,4,8,2,0,0,0,4,0,0,1,0,0,0,1,0
ooy7a5,0,4,9,18,15,6,0,0,4,9,14,3,1,0,0,3,0,0
ooigq9,0,24,4,6,10,6,0,0,0,0,7,0,0,0,2,2,0,0
op0ac9,0,2,0,12,1,1,2,0,0,1,0,0,0,0,0,0,3,0
oorz14,1,19,1,20,33,16,1,0,0,0,0,1,0,0,0,0,0,0
oocxuq,1,14,2,10,18,8,0,0,1,1,4,0,3,0,1,0,1,1
oo871y,1,31,9,41,33,78,1,0,1,8,6,0,2,0,0,0,0,0
oopvxz,0,11,20,32,13,19,2,0,0,3,1,0,2,0,0,0,7,0
ootp3q,1,5,8,3,16,3,0,0,0,0,0,0,13,0,0,0,0,0
oobii3,0,14,2,7,26,22,2,1,0,0,0,0,0,0,0,0,0,0
oo8ym5,0,8,2,11,2,8,1,2,0,0,0,0,0,0,0,0,0,0
oog0m8,0,4,3,3,3,3,1,0,1,1,0,1,0,0,0,3,0,0
oopt7i,0,4,13,5,4,7,1,0,1,1,1,0,2,0,0,0,0,0
oofw3f,1,11,10,8,5,5,0,0,0,3,0,0,0,0,0,1,4,0
oowh72,0,11,20,6,6,1,9,0,2,0,2,0,0,0,0,0,2,0
oovqhc,0,17,11,13,16,15,0,0,1,0,0,0,13,0,0,9,0,0
oofwwu,0,16,7,17,7,4,0,0,0,0,3,0,0,0,0,0,0,0
ooxedm,0,7,2,9,17,1,0,0,0,1,0,8,0,0,0,0,0,0
ootq74,0,4,5,11,7,3,1,0,0,0,4,0,0,0,0,0,2,0
ooku56,1,4,0,1,6,7,0,1,1,0,1,1,0,0,0,0,0,0
oozbgx,1,1,2,3,6,1,2,2,0,0,0,0,0,0,0,0,0,0
oopfo1,0,1,1,1,7,4,0,0,0,1,0,0,0,0,0,0,2,0
oosj88,0,9,2,9,7,6,1,0,0,0,0,0,1,0,0,1,0,0
oot6bd,0,10,3,7,13,15,0,0,1,0,2,2,1,0,0,0,0,0
op0wf5,0,5,5,9,7,0,0,0,1,0,0,0,0,0,0,0,0,0
oow6hu,0,13,6,5,18,25,1,0,1,0,1,0,0,0,0,0,0,0
ootfv4,2,8,2,9,6,20,0,0,0,0,6,0,0,0,0,0,0,0
op2oqw,0,20,14,11,6,6,1,0,0,2,1,1,0,0,0,7,0,0
op35tg,0,40,23,31,11,20,0,2,1,0,3,2,0,0,0,3,0,0
op2a1t,0,1,4,0,9,3,0,0,0,0,0,0,0,0,0,2,0,0
op1ssx,0,9,3,2,20,21,0,2,0,0,0,0,0,0,0,0,0,0
op08m0,1,1,2,8,5,5,1,0,6,0,0,0,0,0,0,0,0,0
op7emx,0,4,2,4,15,4,0,0,0,0,0,0,0,0,0,0,0,0
op53nd,1,10,8,5,13,36,1,0,9,0,1,0,0,0,0,0,0,0
op4uv0,0,8,3,3,5,7,0,1,0,3,2,0,0,0,1,2,0,0
opb2vf,1,10,2,3,10,9,0,0,0,0,1,0,0,0,0,0,0,0
op6a4v,0,2,0,0,5,4,0,0,1,0,1,1,0,0,0,0,0,0
op4bgz,1,13,4,2,25,1,0,1,0,0,1,1,1,0,0,3,0,0
op6ote,1,5,7,3,18,5,0,0,0,3,0,0,0,0,0,0,1,0
op8sqz,0,11,7,13,3,0,0,0,3,0,1,0,1,0,0,0,0,0
op60kc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
