id,ORG,PERSON,GPE,DATE,PERCENT,ORDINAL,LOC,CARDINAL,MONEY,PRODUCT,TIME,WORK_OF_ART,NORP,LAW,LANGUAGE,FAC,EVENT,QUANTITY
op1rqt,8,5,5,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
op1n59,84,7,1,4,0,3,0,6,6,1,0,0,0,0,0,0,0,0
op1m7f,10,7,0,2,1,0,0,1,0,3,1,0,0,0,0,0,0,0
op1lm1,8,1,0,4,1,0,0,7,3,0,0,1,0,0,0,0,0,0
op1ket,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
op1h60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op1ghq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op1ezz,3,0,0,9,1,1,0,0,5,0,0,0,0,0,0,0,0,0
op1ev2,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
op1bk4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op1b9z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op18uq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op1561,13,2,2,4,1,1,0,2,4,0,0,0,0,0,0,0,0,0
op14dx,41,5,3,8,4,2,1,7,2,3,0,3,3,1,0,0,0,0
op14at,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op13ns,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
op12ul,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
op12it,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
op104p,11,1,1,3,0,1,0,1,2,0,0,0,1,0,0,0,0,0
op0yxp,9,3,0,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0
op0ye1,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0
op0xym,22,5,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0
op0wq2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op0wpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
