id,ORG,GPE,DATE,NORP,PERSON,MONEY,CARDINAL,LOC,ORDINAL,TIME,QUANTITY,FAC,WORK_OF_ART,LAW,PRODUCT,PERCENT,EVENT,LANGUAGE
op1ges,16,16,8,6,9,1,6,1,0,0,0,0,0,0,0,0,0,0
op1ern,1,3,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
op0wf5,7,9,5,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
op0ac9,1,12,2,0,1,0,0,1,0,2,3,0,0,0,0,0,0,0
op08m0,5,8,1,0,5,0,2,0,6,1,0,1,0,0,0,0,0,0
ooyyg4,5,6,6,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0
oozbgx,6,3,1,0,1,0,2,0,0,2,0,1,2,0,0,0,0,0
ooz5e4,26,17,13,0,10,0,5,0,1,1,0,0,0,1,0,0,0,0
ooyppv,9,6,6,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0
ooym44,16,6,8,0,2,0,0,0,4,1,0,1,1,0,0,0,0,0
ooyb3w,24,24,9,0,27,1,20,1,0,0,0,1,1,0,1,14,0,0
ooy7a5,15,18,4,14,6,1,9,9,4,0,0,0,0,0,3,3,0,0
ooxkr8,8,11,13,0,15,0,4,1,0,1,0,0,0,0,0,0,0,0
ooxedm,17,9,7,0,1,0,2,1,0,0,0,0,0,0,8,0,0,0
oowyk8,22,2,8,0,6,0,6,1,4,1,0,0,1,0,1,0,0,0
oowppz,5,7,4,0,4,0,5,0,0,2,0,0,0,0,0,0,0,0
oowl4x,5,11,16,0,12,0,7,0,1,0,0,0,0,0,0,0,0,0
oowh72,6,6,11,2,1,0,20,0,2,9,2,0,0,0,0,0,0,0
oow72f,5,8,2,1,2,0,8,1,0,1,0,0,0,0,1,0,0,0
oow6hu,18,5,13,1,25,0,6,0,1,1,0,0,0,0,0,0,0,0
oovqhc,16,13,17,0,15,13,11,0,1,0,0,0,0,0,0,9,0,0
oot6bd,13,7,10,2,15,1,3,0,1,0,0,0,0,0,2,0,0,0
oou2d0,12,5,12,0,16,0,19,1,2,0,1,0,0,0,1,0,1,0
oov5u8,14,5,1,1,9,0,1,0,0,1,0,0,0,0,0,1,0,0
ooubrc,2,1,6,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0
oou7kh,4,4,10,0,15,0,9,0,3,2,0,0,1,0,0,0,0,0
ootq74,7,11,4,4,3,0,5,0,0,1,2,0,0,0,0,0,0,0
ootp3q,16,3,5,0,3,13,8,0,0,0,0,1,0,0,0,0,0,0
ootfv4,6,9,8,6,20,0,2,0,0,0,0,2,0,0,0,0,0,0
ooskww,9,8,7,4,12,7,8,2,0,0,2,0,1,0,0,0,0,0
oosj88,7,9,9,0,6,1,2,0,0,1,0,0,0,0,0,1,0,0
oos734,2,4,5,1,5,0,2,2,0,0,0,0,0,0,0,0,0,0
oorz14,33,20,19,0,16,0,1,0,0,1,0,1,0,0,1,0,0,0
oorix7,8,4,3,0,2,1,3,4,0,0,1,0,0,0,0,0,0,0
oorcsq,5,3,8,0,1,1,5,0,0,0,0,0,0,0,0,3,0,0
ooqsyu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ooqo1n,12,4,9,6,15,0,7,0,0,0,0,2,0,0,2,0,0,0
ooqc6i,3,9,3,1,5,0,1,0,1,0,0,1,1,0,0,0,4,0
ooq3wl,12,4,5,9,8,4,3,0,2,0,0,0,0,2,0,0,1,0
oopt7i,4,5,4,1,7,2,13,1,1,1,0,0,0,0,0,0,0,0
oopvxz,13,32,11,1,19,2,20,3,0,2,7,0,0,0,0,0,0,0
oopfo1,7,1,1,0,4,0,1,1,0,0,2,0,0,0,0,0,0,0
oop5by,13,7,6,0,11,0,5,0,1,1,0,0,1,0,0,0,0,0
ooozib,6,16,6,9,2,0,3,1,1,0,0,0,0,0,0,1,0,0
oooxqo,17,14,23,12,29,0,5,1,2,0,0,2,1,0,6,0,0,0
ooo4x4,24,14,14,2,7,1,2,1,1,1,0,3,0,0,0,0,0,0
oonzyz,0,2,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
oonanx,6,4,5,5,6,2,5,0,0,0,0,0,0,0,0,0,0,0
ooev1a,14,8,13,5,2,2,9,1,1,0,0,1,0,0,0,0,0,0
oolrj9,8,30,10,2,16,1,5,4,1,1,0,0,0,0,0,0,12,0
op35tg,11,31,40,3,20,0,23,0,1,0,0,0,2,0,2,3,0,0
op2oqw,6,11,20,1,6,0,14,2,0,1,0,0,0,0,1,7,0,0
op2a1t,9,0,1,0,3,0,4,0,0,0,0,0,0,0,0,2,0,0
op1ssx,20,2,9,0,21,0,3,0,0,0,0,0,2,0,0,0,0,0
opbwhx,2,2,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0
opbtuh,40,51,14,35,14,0,21,1,1,0,1,0,1,0,1,0,0,0
opbo9x,36,38,28,7,10,0,6,0,2,4,0,0,1,0,0,0,7,0
opb4ja,5,17,15,2,15,4,1,0,0,0,0,0,2,0,2,0,0,0
opb2vf,10,3,10,1,9,0,2,0,0,0,0,1,0,0,0,0,0,0
op7hwj,3,6,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
op8sqz,3,13,11,1,0,1,7,0,3,0,0,0,0,0,0,0,0,0
op7emx,15,4,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
op6ote,18,3,5,0,5,0,7,3,0,0,1,1,0,0,0,0,0,0
op6a4v,5,0,2,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0
op678x,19,34,12,9,13,2,2,4,5,0,2,1,0,0,0,0,0,0
op60kc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op5npz,17,5,16,6,11,3,7,0,1,0,0,0,0,0,1,2,0,0
op58l3,2,6,14,0,12,0,3,0,2,0,0,0,0,0,0,0,1,0
op53nd,13,5,10,1,36,0,8,0,9,1,0,1,0,0,0,0,0,0
op4uv0,5,3,8,2,7,0,3,3,0,0,0,0,1,0,0,2,1,0
op4tua,10,3,3,0,12,0,0,0,1,5,0,0,0,0,0,0,0,0
op4bgz,25,2,13,1,1,1,4,0,0,0,0,1,1,0,1,3,0,0
opihio,13,30,13,13,24,1,2,0,1,0,0,0,0,0,0,0,0,0
opig3s,32,7,20,1,13,7,15,0,2,1,0,0,1,2,1,2,0,0
opig0u,39,61,16,38,17,0,6,0,0,0,0,0,0,0,1,0,2,0
opid5c,0,3,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
opibbc,12,1,6,2,2,0,2,3,3,0,0,0,0,0,0,5,0,0
opi5u9,3,9,14,3,4,0,6,4,0,1,0,0,0,0,1,1,1,0
opi5m1,50,11,10,0,13,4,9,0,1,0,0,0,0,0,0,1,0,0
opi58x,20,9,10,5,18,2,8,3,1,0,0,0,1,0,1,2,0,0
ophxoi,6,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
ophv50,4,15,7,0,1,0,14,5,0,0,13,2,0,0,0,0,0,0
ophu16,6,6,20,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0
ophivn,34,29,18,11,17,1,2,1,0,0,0,0,0,1,0,0,0,0
oph98w,20,0,3,0,3,0,0,1,0,2,0,0,0,0,1,0,0,0
opgveh,13,24,5,5,9,0,11,0,1,1,0,2,1,0,0,0,0,0
opgmje,1,13,2,1,7,6,3,0,0,0,0,0,0,0,0,2,0,0
opg62i,17,24,6,5,9,3,1,0,0,0,0,0,0,0,0,0,0,0
opff1f,3,9,7,2,4,0,4,0,1,1,2,2,0,0,0,0,1,0
opfap8,6,4,3,0,1,2,2,0,0,0,2,1,0,0,0,0,0,0
opf5h2,9,14,8,0,11,0,10,1,0,0,0,0,0,1,1,0,0,0
opf4ye,17,3,5,2,4,0,8,0,0,1,0,0,8,0,1,0,0,0
opexke,5,3,3,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0
opewjc,6,6,3,0,3,0,6,0,1,2,0,1,0,0,0,0,0,0
